2	9999	132	1	9999	8500	
29149	4.091079	-73.581651	1	9	1	
29162	4.107789	-73.57192	1	18	1	
29157	4.101273	-73.531007	1	12	1	
29174	4.12208	-73.510273	1	157	1	
29130	4.066484	-73.498808	1	10	1	
29160	4.073578	-73.487362	1	816	1	
29074	3.97713	-73.591785	1	7	1	
29068	3.980877	-73.553096	1	50	1	
29055	3.948389	-73.614708	1	5	1	
29156	4.099702	-73.431586	1	20	1	
29044	3.927708	-73.557145	1	18	1	
29061	3.951584	-73.507587	1	87	1	
29155	4.094982	-73.405884	1	14	1	
29080	3.962602	-73.471033	1	1104	1	
28997	3.87481	-73.624296	1	68	1	
29154	4.086935	-73.370609	1	68	1	
29034	3.897173	-73.493642	1	133	1	
28996	3.869987	-73.560451	1	14	1	
28988	3.853288	-73.62554	1	209	1	
29080	3.954821	-73.405876	1	332	1	
28982	3.841379	-73.653328	1	22	1	
28981	3.841405	-73.661485	1	6	1	
27896	3.882266	-73.461464	1	5	1	
28973	3.830876	-73.629841	1	5	1	
29126	4.065348	-73.307429	1	12	1	
28905	3.768703	-73.589501	1	47	1	
29043	3.931621	-73.320257	1	9	1	
28888	3.756767	-73.554049	1	32	1	
28908	3.761777	-73.509341	1	130	1	
28990	3.911518	-73.3071	1	16	1	
28882	3.756683	-73.475137	1	14	1	
28876	3.739217	-73.486561	1	127	1	
29040	3.940629	-73.257483	1	192	1	
29042	3.909582	-73.257079	1	279	1	
28994	3.868774	-73.235375	1	6	1	
25027	3.724598	-73.351556	1	14	1	
28817	3.713323	-73.331861	1	37	1	
28815	3.712039	-73.300619	1	14	1	
28887	3.742989	-73.186541	1	51	1	
28627	3.474684	-73.807927	1	525	1	
28601	3.441776	-73.736503	1	8	1	
28574	3.421595	-73.742195	1	26	1	
28614	3.419312	-73.770447	1	238	1	
28580	3.402252	-73.725955	1	1	1	
28614	3.428489	-73.849881	1	13	1	
28530	3.478978	-73.971551	1	7	1	
28567	3.399889	-73.514602	1	92	1	
28580	3.389638	-73.673633	1	269	1	
28577	3.389703	-73.741692	1	37	1	
28564	3.384431	-73.721696	1	20	1	
28551	3.374285	-73.616349	1	35	1	
28552	3.379053	-73.72491	1	6	1	
28553	3.374781	-73.696007	1	61	1	
28524	3.33113	-73.55418	1	52	1	
28518	3.327771	-73.572812	1	40	1	
28515	3.327794	-73.518846	1	10	1	
28521	3.317776	-73.582786	1	256	1	
28505	3.319944	-73.51104	1	22	1	
28476	3.302942	-73.610137	1	6	1	
