NAME : Giant_Problem.txt
COMMENT : 
TYPE : TSP
DIMENSION : 71
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1	-12	-6	
2	-15	-5
3	-1	-18
4	2	-21
5	-1	-17
6	-9	-12
7	2	-22
8	1	-21
9	7	-25
10	-7	-17
11	-11	-5
12	-14	-9
13	-14	-8
14	-11	-2
15	-14	-5
16	-15	-9
17	-15	-8
18	-9	-6
19	-14	-4
20	3	6
21	5	9
22	5	10
23	2	8
24	1	9
25	1	10
26	2	9
27	6	14
28	5	12
29	3	7
30	4	8
31	-6	1
32	-6	2
33	-8	-2
34	-7	2
35	-7	-3
36	-7	-2
37	-20	12
38	-20	13
39	-12	10
40	-20	15
41	-6	8
42	2	21
43	2	22
44	1	21
45	-1	24
46	1	22
47	-2	20
48	-2	21
49	-4	18
50	-4	19
51	-5	18
52	-5	26
53	1	23
54	-6	5
55	-6	6
56	-9	6
57	-9	7
58	-12	5
59	-12	6
60	-11	3
61	-11	4
62	-14	4
63	-14	5
64	-15	4
65	-15	5
66	-16	7
67	-16	8
68	-15	10
69	-20	10
70	-5	19
71	-9	-11
EOF
